identifier,logFC,AveExpr,t_stat,P.Value,adj.P.Val,B,gene_name,symbol
HPCAL1~E9PC71,2.531997346166307,9.958448401304176,3.415259339664899,0.0017601340701676117,0.01096083489149831,-1.612530097628687,HPCAL1,HPCAL1
ABRACL~Q9P1F3,3.0230445552523477,11.658195041796112,3.4068592304009675,0.0018001468034396894,0.01113768248063653,-1.6336665964914845,ABRACL,ABRACL
COTL1~Q14019,1.9109439337602652,11.921079638602112,3.4003381758410227,0.001831810966162674,0.011260940490705158,-1.6500587384160141,COTL1,COTL1
RPS9~P46781,0.6781736825764728,13.53640957100736,3.37539242041947,0.0019579566658139837,0.011959748041500703,-1.712633255273495,RPS9,RPS9
AOC3~Q16853,-0.6868013580535948,13.395185881592715,-3.361103440963244,0.002033931762164152,0.012345193417186215,-1.7483806161406337,AOC3,AOC3
C4A~P0C0L4,-0.7897298268611586,20.31858323564004,-3.3202321931246326,0.0022672000522237033,0.01367449591246875,-1.8502391938744998,C4A,C4A
IGLV1-47~P01700,-0.5089437633286416,20.83258167727953,-3.315272932089193,0.00229719227640025,0.013768796206673999,-1.862558645450675,IGLV1-47,IGLV1-47
NPEPPS~A0A7I2V389,3.294866113083885,8.697515936657236,3.2942660955431746,0.00242850760634672,0.014465458350847855,-1.9146451243209022,NPEPPS,NPEPPS
WDR1~A0A8V8TNT7,1.8930252966668526,13.293400847058068,3.2866187304542307,0.0024780745674244644,0.014637527817275599,-1.9335674220553534,WDR1,WDR1
RAB27B~O00194,3.4383284863737504,8.65011349771948,3.2851169250162444,0.0024879218292136835,0.014637527817275599,-1.9372809382772136,RAB27B,RAB27B
