symbol,t_stat
C1RL,-0.27116352780352765
IGHV1-8,-0.27201309504421844
FH,-0.27928564845420717
VWF,-0.27940334921714033
HYOU1,-0.28114353328566094
IGLV4-3,-0.2830913652063283
S100A11,-0.2837038514803401
PON3,-0.2846757609380088
CAT,-0.2861496391023649
IGLV7-43,-0.2879938521441068
C8B,-0.2902705293142082
LRG1,-0.2934588537615118
LAMB1,-0.2950007470709033
IGHV4-38-2,-0.301203431780337
IGKV1-12,-0.30572639724203066
TCP1,-0.31494030478798984
IGKV1D-13,-0.3182422665851214
PTPRJ,-0.32028158122695827
IGKV2-30,-0.32059490858553097
TGFBI,-0.32257364804537736
APOH,-0.32578875386863115
IGKV1-8,-0.32580676084648985
C6,-0.32615318759099254
HLA-H,-0.3311111560617748
MMRN1,-0.3338461537291063
GOT1,-0.3366456014726253
ARL5B,-0.3369842211691515
CSTA,-0.34874455182968983
SERPINF1,-0.36708644252374467
IGHV3-74,-0.37441080616778255
S100A8,-0.3867151112343821
ANXA3,-0.390118237978254
SSBP1,-0.39494230467704944
IGHV3-38-3,-0.40150535701081586
IGFALS,-0.41386849557932354
SPTA1,-0.41574560306738
FAH,-0.41592441751179365
IGKV1D-33,-0.42151648454732626
HABP2,-0.4232781583174277
LTA4H,-0.44455733120943297
ADAMTS13,-0.449765814466313
IGLV2-11,-0.4523162609355739
IGLC7,-0.4743266667015242
IGHV3OR15-7,-0.4786252746399392
HPR,-0.47961788730496113
MANBA,-0.4845000718518357
IGHV3OR16-9,-0.4867395348065161
APOL1,-0.48888247129076734
PSG9,-0.5064499621870245
CSH1,-0.5064499621870245
PSG1,-0.5064499621870245
IGHV1-69,-0.5150575008122523
LRBA,-0.5156961004927549
BST1,-0.5244010632103072
APOC3,-0.5275636183177194
FN1,-0.5331664717042444
F12,-0.5415436334493189
CD59,-0.5466222327862992
FLT4,-0.5469400434567556
GSR,-0.5485108630079806
XPNPEP2,-0.5559549003465822
BLTP2,-0.5633706343965688
ITLN1,-0.5665297235838365
DAG1,-0.5792318082062838
C8A,-0.5907439897509105
CST6,-0.5916891270809775
VASN,-0.6011502325027409
S100P,-0.6091538049202737
IGHV2-5,-0.6141239150096275
PVR,-0.6158143840255419
CRHBP,-0.6159412833219665
POC1B,-0.6228287941589766
JCHAIN,-0.6236762064906046
H6PD,-0.6320774740092803
IGHV3-7,-0.6324005118278135
IGLV3-1,-0.6387205318992731
GGH,-0.6450251926644124
ITGA8,-0.6467830467506313
CTSD,-0.6509487201360538
C1QC,-0.6814381133198698
IGHV3OR16-12,-0.6900780831592787
IGHV1-2,-0.69434864292219
IGHM,-0.6980443089384474
MBL2,-0.7046757136627956
CD44,-0.7052959029742977
ORM2,-0.7058233469078968
IGLV1-40,-0.705933854022827
ME1,-0.7061085047408984
IGHD,-0.7088729380421384
ICOSLG,-0.7213916041600749
C9,-0.7312437556397592
C1QB,-0.7327469253307101
CTBS,-0.7387543049514389
HPX,-0.7466736029591878
C1QA,-0.7511773128342296
CADM1,-0.7528835213573898
GTF3C3,-0.7682442903043397
IGHV5-51,-0.7867091435508689
IGKV3D-20,-0.7883374578906588
LGALS3BP,-0.7974868567920343
DPEP2,-0.8226053419576269
SELL,-0.8304309330973071
ITIH3,-0.8336438582279357
C5,-0.8346152872880908
NAGLU,-0.8402268569610178
F13A1,-0.8577256591512586
IGHV3-20,-0.8783382057770326
F2,-0.8849239173469697
MAN1A1,-0.900242606104032
CLEC3B,-0.901615897397887
IGKV6D-21,-0.9034599404450683
PRG4,-0.9150423233634903
IGLV5-52,-0.922594339884233
IGKV3-20,-0.924774493716878
AGT,-0.942913501380698
C4B_2,-0.9442302139085058
IGLV7-46,-0.9472693754234024
HBZ,-0.9489417768099542
MSLN,-0.9561147632737224
IGHV3-64D,-0.9718021026341592
SELPLG,-0.9723266809667552
ALDH1A1,-0.9782598607643016
PROZ,-0.9972051696617396
HLA-F,-1.0160948983995635
IGHV3-49,-1.0242367996596098
MEGF8,-1.0259055523626708
PDXK,-1.029037804155669
ALCAM,-1.0310176126875383
IGHV2-70D,-1.0406449042952604
IGHV3-64,-1.052397253391234
SPARCL1,-1.0571450431602063
IGLV4-69,-1.0586614918231312
IGHV1OR15-1,-1.0612988372704282
CDC42,-1.0675675947271452
FBN1,-1.0681489387931995
MATR3,-1.0766521030929883
IGKV3-11,-1.0844262172103942
IGF2R,-1.0847079249424514
APOA2,-1.0889967690271243
CD34,-1.0890184877147615
POSTN,-1.1065132334471908
IGHV1-69D,-1.1066888062117755
IGHV3-11,-1.1150625826977232
LAMP2,-1.1187365041029969
IGHV1OR15-9,-1.124040851951552
IGHV3-43,-1.1272479198568415
ICAM2,-1.140438258005878
IGKV3-7,-1.1505211265266404
IL6ST,-1.1555296527125378
F9,-1.1654574345027928
NHERF2,-1.174207087648249
CPN1,-1.1899751254053745
SERPINC1,-1.2081182039237564
APOA1,-1.218740622466831
IGKV2D-24,-1.2265910904864685
FCN3,-1.2300710397116679
LCAT,-1.2311329222241636
FCN1,-1.2350177980622234
SAA2,-1.2445801398187073
CCND2,-1.2489968609324058
IGHV1-18,-1.2591458539555709
FAP,-1.303793886111078
IGHV1-24,-1.3326480939675942
